Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1758.3872493617423
FDW14,OUT017,1375.5661124006317
NCN55,OUT010,3753.8073394857684
FDQ58,OUT017,2531.912896985772
FDY38,OUT027,3694.6162316762084
FDH56,OUT046,1663.1032234046747
FDL48,OUT018,739.8055432739457
FDC48,OUT027,1799.5055095591551
FDN33,OUT045,1167.1568634790033
FDA36,OUT017,3070.6079276638566
FDT44,OUT017,1553.345807148559
FDQ56,OUT045,1088.3870015872667
NCC54,OUT019,3208.8951604132217
FDU11,OUT049,1586.118226986346
DRL59,OUT013,1302.0438905529236
FDM24,OUT049,2102.316431798313
FDI57,OUT045,3085.5797817105376
DRC12,OUT018,3149.329575465127
NCM42,OUT027,2185.4633471844127
FDA46,OUT010,2556.8164752826115
FDA31,OUT013,2794.9286252900465
NCJ31,OUT035,3103.062747654257
FDG52,OUT046,579.213949865595
NCL19,OUT019,2357.3271794964185
FDS10,OUT035,2871.7045006116477
FDX22,OUT010,3538.2004263994086
NCF19,OUT035,809.3105068024687
NCE06,OUT046,2219.9006893343612
DRC27,OUT046,3665.704399130097
FDE21,OUT035,1934.150346627264
NCR42,OUT019,463.2478922943253
FDX51,OUT018,3265.2078301619104
NCR06,OUT018,973.1953787780656
FDU31,OUT027,3875.2018300599375
FDU59,OUT017,2295.545101257654
FDR03,OUT027,3754.3878336031785
FDS49,OUT027,1494.904270738257
FDD48,OUT010,2002.941178841016
NCF18,OUT017,2762.3939042596166
NCD43,OUT027,2144.864540930473
NCD54,OUT018,2433.7555328257613
FDY19,OUT010,1956.4401051836892
NCY54,OUT017,2065.3458422517297
NCL19,OUT018,2518.768765656666
FDP23,OUT010,3559.6968929614713
FDC26,OUT013,1745.498800697638
FDR14,OUT010,-18.773531569661714
NCS41,OUT035,2825.9886438243793
FDF41,OUT035,3469.879206248388
FDU34,OUT046,1730.3526874826262
DRH11,OUT046,677.4711707816323
FDM03,OUT013,1675.9379785298067
FDS31,OUT017,2799.608670020337
FDJ20,OUT017,1628.353085637889
FDV44,OUT027,3356.6205163162876
FDG02,OUT049,2995.492724902243
FDA09,OUT013,3072.8385064239437
FDT04,OUT013,691.7882841690492
FDL58,OUT019,3754.6104674655935
FDE52,OUT045,1514.982998794327
FDW12,OUT035,2313.851307083545
FDL51,OUT017,3310.3051520094214
NCY42,OUT027,2736.8564916760615
FDR07,OUT017,1337.7027413096896
FDN40,OUT045,2220.5033995117674
FDB35,OUT027,1718.2560963145024
FDA22,OUT017,2375.542411905446
NCL06,OUT046,3877.7873993192206
FDI35,OUT013,3211.196140492907
NCW42,OUT045,3419.2120188974077
NCX06,OUT049,2839.7463751146606
FDC37,OUT027,2141.194403947905
FDZ14,OUT018,2021.561770828858
DRG49,OUT049,3608.0840927435374
NCG06,OUT045,4090.8729360522148
DRC36,OUT045,2739.244854346781
FDV21,OUT019,821.0514040535563
FDB53,OUT046,1799.2547122812023
DRP47,OUT019,3045.841638996322
FDA14,OUT013,2541.0155664089007
DRC24,OUT035,2485.55790906913
FDW21,OUT018,1879.0953123456509
NCH29,OUT046,1493.147729603123
FDU58,OUT013,3383.3265720870395
FDY27,OUT017,2804.469837728502
FDV56,OUT035,1860.026175150453
FDT59,OUT046,3643.249626104589
FDB23,OUT046,3612.848451681184
FDR49,OUT045,324.9989652196081
FDB03,OUT010,3003.792676430092
FDN39,OUT045,2520.626145394999
FDX02,OUT027,3810.2843909070516
FDQ16,OUT027,2093.9259129499433
FDU35,OUT018,1518.961691802139
NCT29,OUT013,2189.0910106545502
FDZ27,OUT046,810.7796472639432
FDN57,OUT017,2123.3125864573585
FDA03,OUT018,2391.4921015487953
FDZ36,OUT045,2828.53746485221
NCU05,OUT013,1579.109824527578
FDT39,OUT018,2643.346363120405
FDK60,OUT017,1268.4625651581223
FDZ25,OUT017,2695.0310597806574
FDG12,OUT046,2007.3480435394017
DRB01,OUT019,2577.719661626121
NCC43,OUT027,4070.5208474957717
FDX13,OUT019,3742.3546906345164
FDM22,OUT049,749.0591780206305
FDJ03,OUT027,1039.0732171740733
FDU14,OUT018,3912.288962226833
FDB33,OUT010,2821.5970216558762
FDP27,OUT046,2543.260894303581
FDO38,OUT010,1092.4548343074632
FDE28,OUT027,3599.2151604445444
FDO27,OUT035,880.0564453198535
DRL23,OUT027,2205.4659706678776
FDS28,OUT046,628.5582397149794
FDX24,OUT013,1963.7233336569932
FDZ02,OUT035,1550.832584131186
FDL46,OUT045,1817.5200330887062
FDS60,OUT027,3236.638103794926
NCO06,OUT017,208.2206212427319
FDO16,OUT035,1475.9419562767828
FDC60,OUT049,942.5438332344057
FDA48,OUT018,3223.2641386827936
FDZ36,OUT027,3199.990906362009
FDK27,OUT045,2085.526429485326
FDW23,OUT018,566.106401370022
FDM14,OUT018,1992.0414584366752
FDM14,OUT013,2209.754591121999
FDW60,OUT018,3023.4596403713485
FDE21,OUT013,2292.191646186273
NCM42,OUT035,1798.2390350324783
FDY59,OUT010,1682.2559895949446
DRI49,OUT049,527.63757312138
FDT28,OUT019,2105.626135131219
FDQ22,OUT018,822.075115519954
FDR60,OUT049,700.6529593950906
FDC50,OUT019,635.3511241749047
FDV24,OUT013,2466.7285866463844
DRF48,OUT010,3084.5840131532623
FDQ47,OUT046,-70.56396373433444
DRN36,OUT049,1397.3470022583906
NCY06,OUT035,1943.0054899982217
FDE52,OUT035,1483.5535987669052
NCB54,OUT045,1990.9239248889137
NCF31,OUT035,2358.377697468748
FDJ08,OUT027,3045.3200894342017
NCC07,OUT017,1733.1974256251976
NCD19,OUT027,1388.9446139791426
FDL46,OUT049,1659.8304983864682
FDM20,OUT045,3892.0874587599164
NCI06,OUT010,2895.833058313122
DRM11,OUT035,3945.896363497679
NCH07,OUT018,2370.168847587096
FDS23,OUT013,1946.3108181691334
FDO49,OUT018,954.0917832034827
FDS35,OUT049,615.7474671912746
DRK39,OUT045,1303.7100107517394
DRI39,OUT049,573.3987064554321
FDV04,OUT017,1948.238630327882
NCN14,OUT035,2636.240236523404
FDH08,OUT013,4094.289229741269
FDS20,OUT046,2730.155028931882
FDV40,OUT049,1222.2095186151423
FDZ48,OUT010,1592.739494997423
FDS24,OUT027,1685.5048398607469
FDK44,OUT049,2254.784214759214
FDS48,OUT045,2283.393716522155
FDK26,OUT010,3116.870906278239
FDD23,OUT045,2952.624307773138
NCH54,OUT017,2363.6596998098166
NCP14,OUT010,1263.1470436663167
FDM60,OUT010,706.9936251960546
FDV24,OUT017,2062.6813832974376
FDH08,OUT018,3811.4043749901693
FDS12,OUT027,1788.7132117285912
FDR39,OUT027,3027.838698876397
FDP12,OUT027,972.7820693317713
DRF60,OUT027,4039.7102276476808
FDC09,OUT035,1704.4675643556604
FDF50,OUT018,2876.577508215869
FDG28,OUT035,3785.1440541568536
NCE19,OUT017,626.1444535657834
NCM53,OUT010,1742.8904415434747
NCN18,OUT049,1535.9957531061732
FDF32,OUT035,3004.006911111289
FDF11,OUT013,4222.771921008726
DRI59,OUT049,3421.57969977468
NCG54,OUT035,2490.35289382236
FDM44,OUT046,1571.459732913756
FDT57,OUT018,3918.93375381865
FDV24,OUT046,2007.2788411677855
FDI50,OUT019,3558.4187268692594
FDS09,OUT035,651.2453116124744
NCC31,OUT027,2920.3713499665846
FDQ07,OUT019,2961.6233205368826
FDC22,OUT017,2536.3232657312174
FDZ56,OUT046,2648.991431574127
FDZ40,OUT019,787.7933447351595
FDS46,OUT027,2232.42218652084
DRD24,OUT045,2292.662053713084
FDV45,OUT017,2921.4831919424087
FDL26,OUT045,2330.3098744143654
FDA56,OUT018,2213.178083852537
FDN27,OUT046,1791.8925511789134
FDM20,OUT049,3738.466206110189
FDO16,OUT017,1413.9798474058791
FDL03,OUT035,3139.937553824354
FDE58,OUT046,1715.6241354525462
FDI02,OUT027,1825.4842888609664
NCC55,OUT019,362.6629399542749
FDR03,OUT018,3495.580831440283
FDB14,OUT017,1155.8306524192058
FDR45,OUT013,4192.956916421935
NCN07,OUT017,2057.269109112818
FDM51,OUT019,1652.8495638026068
FDT52,OUT027,4192.233814976432
FDL26,OUT046,2195.0863942881633
NCZ42,OUT046,3794.2555058762337
DRI47,OUT019,2365.22719678688
FDW40,OUT013,2293.414301384256
FDN34,OUT046,2461.124736429467
FDS01,OUT035,2916.1864128449033
NCG55,OUT045,1875.7130902202523
FDC11,OUT035,930.1244345967208
FDX35,OUT018,3482.4817045319005
NCB06,OUT046,2247.016579938824
